"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2022","178.82","171.25","179.78","169.93","-","3.36%"
"Apr 21, 2022","173.00","169.30","173.40","168.00","0.54K","2.16%"
"Apr 20, 2022","169.35","170.50","174.50","166.50","1.14K","-1.48%"
"Apr 19, 2022","171.90","194.00","194.45","171.00","2.09K","-10.00%"
"Apr 18, 2022","191.00","182.15","191.05","179.55","0.95K","5.50%"
"Apr 14, 2022","181.05","183.25","186.60","178.35","0.98K","-0.58%"
"Apr 13, 2022","182.10","171.55","182.10","171.45","0.99K","5.81%"
"Apr 12, 2022","172.10","173.50","174.80","170.25","0.84K","-1.06%"
"Apr 11, 2022","173.95","169.40","174.45","169.40","1.05K","3.82%"
"Apr 08, 2022","167.55","164.00","172.30","163.50","2.05K","2.76%"
"Apr 07, 2022","163.05","159.50","164.50","159.05","1.14K","2.19%"
"Apr 06, 2022","159.55","159.95","160.75","156.45","1.08K","-0.44%"
"Apr 05, 2022","160.25","159.00","162.10","158.95","0.98K","0.66%"
"Apr 04, 2022","159.20","157.15","163.95","155.50","1.60K","1.05%"
"Apr 01, 2022","157.55","152.50","159.10","151.40","1.94K","3.69%"
"Mar 31, 2022","151.95","148.45","152.50","148.40","1.04K","2.56%"
"Mar 30, 2022","148.15","145.80","149.00","145.60","0.84K","1.61%"
"Mar 29, 2022","145.80","146.85","147.65","145.70","0.64K","-1.02%"
"Mar 28, 2022","147.30","148.75","149.50","146.95","0.73K","-2.39%"
"Mar 25, 2022","150.90","149.00","153.45","148.00","1.17K","1.14%"
"Mar 24, 2022","149.20","145.70","149.70","145.25","0.82K","1.95%"
"Mar 23, 2022","146.35","145.55","148.00","145.35","0.35K","1.14%"
"Mar 22, 2022","144.70","148.40","148.60","144.30","0.77K","-2.10%"